"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
360,200,31,328,125
638,379,153,404,87
313,141,423,105,464
365,237,186,412,82
486,283,201,439,8
525,366,141,405,262
508,196,181,467,241
297,136,464,5,454
589,233,44,399,177
566,167,232,427,175
380,143,462,102,421
486,191,236,360,294
346,142,221,369,20
428,260,146,400,193
406,209,208,463,71
407,206,82,325,299
411,136,25,367,180
439,183,1,427,245
376,210,79,438,171
425,250,163,506,213
486,230,218,470,191
371,107,431,156,466
589,305,125,452,28
635,279,140,401,261
522,193,122,386,250
412,238,433,448,533
574,179,48,339,109
616,191,134,476,193
495,224,142,389,229
429,145,119,418,176
678,193,225,327,212
476,200,307,92,453
306,140,533,61,478
448,116,144,267,167
622,382,21,308,120
450,267,217,423,183
661,212,141,519,287
460,210,136,397,183
493,180,106,477,285
284,130,538,257,482
443,221,53,133,101
642,309,141,492,181
347,119,209,403,262
481,266,255,412,234
483,208,152,420,79
663,447,567,288,536
426,141,23,387,97
287,111,406,130,426
484,174,31,421,15
472,265,193,432,232
570,228,225,478,182
564,244,63,422,147
538,315,195,376,251
493,298,563,147,462
298,141,327,8,431
428,191,176,346,198
730,509,194,511,91
358,276,468,64,425
555,288,166,413,167
402,280,550,332,534
455,188,63,76,100
486,298,260,245,234
251,184,496,287,382
461,231,8,421,219
424,205,145,352,201
525,251,169,531,109
432,231,85,299,212
358,334,341,367,348
284,157,51,294,259
414,283,193,428,46
399,215,128,232,318
539,223,33,367,131
452,273,176,449,301
299,177,453,76,324
551,341,162,448,234
579,291,23,417,155
451,250,196,370,85
447,158,471,35,469
650,294,32,320,105
540,265,239,411,233
549,246,151,432,171
425,467,53,329,32
302,101,503,179,465
369,178,139,394,66
409,282,102,394,104
563,396,274,496,229
545,501,131,335,223
402,286,251,440,39
413,183,164,318,175
409,243,19,440,236
445,189,7,325,251
477,136,191,424,225
608,222,105,411,83
684,294,158,359,118
489,266,7,431,178
406,222,73,433,160
483,206,137,205,167
625,614,368,478,411
498,330,194,397,153
502,373,352,431,279
549,233,190,468,329
398,176,84,360,286
546,231,231,503,77
454,259,211,439,220
367,180,147,417,51
362,158,577,228,419
430,273,121,365,42
586,178,208,345,166
503,311,202,358,220
399,219,114,393,147
507,266,181,377,169
534,191,144,347,242
453,208,224,301,218
496,245,205,474,193
341,152,401,51,441
499,244,125,431,319
428,138,100,431,125
855,377,292,430,272
368,144,34,339,216
429,213,190,421,249
476,186,116,427,220
599,225,277,349,217
404,195,211,396,46
504,173,238,413,140
613,266,246,356,309
402,257,145,361,172
527,199,226,447,329
367,159,134,422,2
484,190,152,348,218
474,159,216,401,242
483,271,502,267,443
562,200,162,442,296
440,233,181,478,204
423,194,133,291,66
627,277,134,426,233
651,382,176,497,285
356,202,155,508,194
455,272,182,504,144
530,239,603,331,502
481,379,80,318,38
515,195,185,355,102
362,241,232,483,220
249,159,464,108,424
609,264,102,442,260
283,150,173,327,186
289,180,75,388,214
399,214,159,403,2
681,272,164,388,188
492,216,20,449,177
514,234,145,422,209
668,195,130,385,17
449,263,151,452,313
572,233,163,395,204
415,296,253,372,117
427,175,126,309,214
347,144,96,461,115
432,172,203,390,203
509,240,183,440,174
632,736,297,556,105
484,180,97,410,53
508,221,124,406,135
542,271,552,348,470
442,183,152,340,207
367,108,370,128,468
486,214,120,443,273
653,266,166,334,155
562,235,49,416,127
579,499,219,201,211
617,474,356,475,225
678,292,189,291,143
499,222,211,327,213
417,250,188,388,86
682,376,117,576,119
349,173,199,408,56
948,374,202,417,276
519,218,584,257,574
527,432,153,377,213
350,132,321,48,485
643,251,57,378,292
473,196,174,417,272
514,153,265,393,230
570,267,151,325,194
673,332,182,357,272
459,147,191,429,85
459,205,148,411,139
527,149,213,362,178
432,141,335,19,441
534,329,124,438,173
548,319,176,441,68
559,266,175,465,243
367,157,117,402,184
476,263,203,462,199
519,183,170,419,121
486,264,246,308,114
389,225,58,437,213
749,308,209,494,172
665,411,184,361,221
550,336,91,451,170
487,177,115,555,218
590,185,160,368,147
530,319,106,251,254
393,150,132,420,224
533,214,28,405,59
336,135,90,478,71
406,241,82,426,265
402,355,134,412,106
740,361,165,410,210
525,332,188,421,217
417,301,239,467,64
459,272,205,388,279
461,218,260,426,239
869,351,189,364,190
446,267,241,412,76
372,208,471,72,574
466,226,149,513,246
630,519,240,456,212
478,241,149,427,238
444,246,163,428,260
428,106,166,347,149
580,307,156,534,176
502,188,105,374,245
614,199,175,395,282
520,359,227,561,103
561,167,64,324,170
423,210,144,389,26
523,279,198,420,207
458,164,76,427,245
382,191,500,384,575
448,247,112,371,164
462,220,47,397,97
346,141,165,390,66
560,273,170,452,225
804,279,199,442,144
627,217,126,405,216
249,42,465,78,437
578,199,213,412,231
431,205,185,479,177
632,241,243,349,89
625,276,145,443,178
609,226,259,423,197
470,240,48,437,146
349,207,366,209,548
693,286,193,423,211
611,213,66,359,203
397,196,210,473,187
514,359,112,496,202
637,158,51,413,112
397,198,95,366,65
476,169,175,382,237
449,304,249,499,138
455,178,152,369,121
553,286,84,385,275
310,134,518,155,485
502,294,112,358,223
425,105,465,178,481
526,264,68,265,175
464,168,172,316,225
401,277,190,520,125
527,131,83,354,225
487,276,186,430,236
408,270,174,351,258
559,297,120,401,200
326,85,446,225,416
483,239,70,386,160
860,693,293,425,204
442,152,193,459,165
557,232,247,486,161
414,229,131,346,233
487,158,174,308,183
366,201,182,398,110
356,140,502,95,561
341,183,449,289,500
276,115,462,53,444
493,280,184,434,231
477,305,214,407,200
569,216,128,360,177
377,190,38,400,113
333,172,500,391,545
652,378,206,255,272
411,210,47,431,27
498,181,13,452,94
563,274,152,296,264
457,226,120,435,200
415,110,440,115,434
662,406,230,510,231
513,151,195,360,243
627,331,583,464,562
449,237,104,495,31
340,242,460,58,455
475,226,127,447,63
489,220,198,423,298
286,153,483,64,514
544,320,172,268,189
407,168,92,451,272
436,325,100,294,323
525,265,141,547,119
506,274,174,391,150
545,326,105,363,232
311,87,401,109,423
585,203,177,391,142
500,277,157,461,28
576,189,90,409,282
485,205,458,30,439
545,203,109,423,135
426,113,547,133,506
494,206,174,504,252
348,183,243,558,301
653,435,253,402,195
459,249,134,434,210
359,162,157,352,212
335,77,420,4,369
538,212,201,225,256
551,385,130,326,109
397,145,201,417,81
609,300,167,430,180
441,238,151,426,276
485,180,167,440,283
559,349,222,469,205
349,210,34,431,211
379,140,567,378,564
314,162,465,178,430
331,217,436,222,452
514,332,229,372,196
643,276,212,423,300
436,225,183,303,214
488,174,190,397,235
554,324,116,449,101
507,175,75,423,78
466,171,87,327,122
326,134,471,190,467
559,378,170,315,84
354,343,253,119,185
500,237,108,285,171
422,222,155,432,23
840,295,120,330,126
531,304,142,481,268
613,181,171,371,25
441,267,55,425,229
420,332,232,521,283
481,265,88,420,206
332,236,44,442,172
701,379,158,406,272
453,201,47,403,1
539,262,232,392,164
296,251,556,153,525
420,239,249,481,213
279,136,170,513,307
289,145,373,118,492
491,240,190,524,88
468,179,167,416,266
450,258,169,368,227
454,185,122,451,277
822,375,230,410,231
445,256,155,417,236
493,325,260,454,200
408,216,141,435,36
435,307,157,370,26
703,460,183,396,140
327,109,429,312,497
591,318,222,537,139
887,546,189,422,145
560,192,126,376,204
574,220,161,399,257
422,254,144,399,186
454,213,219,503,92
657,292,239,528,270
538,403,329,411,362
638,259,170,456,132
469,293,525,270,524
302,55,401,32,431
325,223,354,96,504
597,262,272,376,307
284,98,491,174,547
682,254,289,363,311
341,144,423,17,503
436,280,162,436,145
459,177,136,264,140
416,145,428,234,468
436,206,170,282,28
644,354,178,295,155
643,252,135,338,115
618,298,102,464,140
503,358,174,343,93
280,143,488,326,495
498,267,55,334,69
401,284,223,537,157
284,96,471,225,449
369,180,79,427,205
404,150,50,231,45
433,196,190,432,277
507,249,183,446,230
631,276,177,394,183
288,114,462,64,481
495,146,81,392,111
430,173,244,450,114
304,100,204,283,224
620,547,288,392,331
774,548,204,500,299
719,291,204,443,127
554,328,42,461,320
344,133,105,445,76
746,325,221,429,259
664,248,190,475,161
477,237,212,494,146
452,238,117,351,93
264,90,494,125,467
592,258,233,438,135
598,205,154,446,295
497,324,101,394,227
310,109,442,35,347
436,129,21,323,64
381,220,211,477,153
561,180,164,373,180
296,176,550,160,426
569,357,144,328,264
635,260,177,344,223
709,311,226,444,212
615,278,150,425,44
416,166,201,284,321
486,215,229,307,206
454,156,66,344,181
570,273,140,462,261
558,341,99,401,24
328,131,387,23,385
864,347,165,381,104
615,359,235,416,275
467,215,162,431,136
368,148,426,121,540
